127.0.0.1 - - [01/Jul/2025:13:12:03 +0900] "GET / HTTP/1.1" 200 5217
0:0:0:0:0:0:0:1 - - [01/Jul/2025:13:12:05 +0900] "GET / HTTP/1.1" 200 4733
0:0:0:0:0:0:0:1 - - [01/Jul/2025:13:12:05 +0900] "GET /css/style.css HTTP/1.1" 200 3617
0:0:0:0:0:0:0:1 - - [01/Jul/2025:13:12:05 +0900] "GET /images/simple-coding.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2025:13:12:20 +0900] "GET / HTTP/1.1" 200 4733
0:0:0:0:0:0:0:1 - - [01/Jul/2025:13:12:20 +0900] "GET / HTTP/1.1" 200 4733
0:0:0:0:0:0:0:1 - - [01/Jul/2025:13:12:21 +0900] "GET / HTTP/1.1" 200 4733
0:0:0:0:0:0:0:1 - - [01/Jul/2025:13:12:21 +0900] "GET / HTTP/1.1" 200 4733
0:0:0:0:0:0:0:1 - - [01/Jul/2025:13:12:23 +0900] "GET /emp/emp.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jul/2025:13:12:23 +0900] "GET /login.do HTTP/1.1" 200 6525
0:0:0:0:0:0:0:1 - - [01/Jul/2025:13:12:23 +0900] "GET /images/puppy-1920_1280_2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2025:13:12:23 +0900] "GET /js/auth/login-validation-config.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2025:13:12:24 +0900] "GET / HTTP/1.1" 200 4733
